Edicion,S_1,O_88,O_89,O_12,O_13,O_22,O_67,O_68,O_8,O_19_1,O_19_2,O_19_3,O_19_4,O_19_5,O_19_6,O_19_7,O_19_8,O_19_9,O_20_1,O_20_2,O_20_3,O_20_4,O_20_5,O_20_6,O_20_7,O_20_8,O_72_1,O_72_2,O_72_3,O_72_4,O_72_5,O_72_6,O_72_7,O_72_8,O_72_9,O_24,O_48,O_52,O_54,O_58,O_59,O_90,O_28_1,O_28_2,O_28_3,O_28_4,O_28_5,O_28_6,O_28_7,O_28_8,O_37_1,O_37_2,O_37_3,O_37_4,O_37_5,O_38_1,O_38_2,O_38_3,O_38_4,O_38_5,O_38_6,O_38_7,O_38_8,O_38_9,O_66_1,O_66_2,O_66_3,O_66_4,O_66_5,O_66_6,O_66_7,O_81_1,O_81_2,O_81_3,O_81_4,O_81_5,O_81_6,O_81_7,O_82_1,O_82_2,O_82_3,O_82_4,O_82_5,O_82_6,O_82_7,O_40,O_41,O_45,O_49,O_55,O_61_1,O_61_2,O_61_3,O_61_4,O_61_5,O_62_1,O_62_2,O_62_3,O_62_4,O_62_5,O_62_6,O_70,O_71,Condiciones Territoriales,Prácticas,Efectos,IPCM
2019,1,Mujer,No,Si,No,50,No consulta,No consulta,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,Si,Si,Si,No,No,3,Si,0,No,Muy pocas veces,Muy pocas veces,1,Si,Si,No,No,No,No,Si,Si,No,Si,No,No,Si,No,Si,No,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Democráctico,Condescendiente,Inclusivo,Consultivo,Proactivo,Cooperativo,Delegativo,Democráctico,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Muy delegativo,"Si, alto",Positiva,Mejorado,56,0,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,De fácil acceso,De fácil acceso,0.748092715802648,0.323440595914112,0.695204803815133,0.55
2019,1,Mujer,No,Si,Si,20,No consulta,No consulta,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,5,Si,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,Si,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Muy autoritario,Muy manipulador,Muy excluyente,Muy dictatorial,Muy pasivo,Muy apático,Muy autosuficiente,Muy autoritario,Muy manipulador,Muy excluyente,Muy dictatorial,Muy pasivo,Muy apático,Muy autosuficiente,"Si, alto",Positiva,Permanecen igual,30,0,Neutral,Neutral,Neutral,Neutral,Neutral,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Neutral,No consulta,No consulta,0.797290096577056,0.759012637739044,0.643843002079117,0.73
2019,1,Hombre,No,No,No,50,No consulta,No consulta,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,5,No,2,Si,Algunas veces,Algunas veces,1,No,No,No,No,No,No,Si,Si,No,Si,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Democráctico,Manipulador,Inclusivo,Consultivo,Proactivo,Cooperativo,Delegativo,Muy democrático,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Muy delegativo,"Si, alto",Positiva,Empeorado,0,80,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,No consulta,0.878361880777821,0.502806485851242,0.649162318853898,0.66
2019,1,Mujer,No,Si,Si,82,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,No,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Muy autoritario,Muy manipulador,Muy excluyente,Muy dictatorial,Muy pasivo,Muy apático,Muy autosuficiente,Muy autoritario,Muy manipulador,Muy excluyente,Muy dictatorial,Muy pasivo,Muy apático,Muy autosuficiente,"Si, alto",Positiva,Permanecen igual,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,No consulta,No consulta,0.723608024253502,0.809838956915033,0.724964160840428,0.75
2019,1,Hombre,Si,Si,Si,150,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,3,No,0,Si,Muy pocas veces,Nunca,14,No,No,Si,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,Si,No,Si,No,No,Si,No,No,No,No,No,No,Autoritario,Muy manipulador,Inclusivo,Consultivo,Proactivo,Apático,Autosuficiente,Autoritario,Manipulador,Inclusivo,Dictatorial,Proactivo,Apático,Autosuficiente,"Si, medio",Negativa,Empeorado,0,170,Totalmente inequitativo,Totalmente inequitativo,Totalmente inequitativo,Equitativo,Totalmente inequitativo,Totalmente inequitativo,Inequitativo,Inequitativo,Inequitativo,Equitativo,Inequitativo,No se publica información,De fácil acceso,0.706870448463099,0.532643974568102,0.691211410998243,0.64
2019,1,Hombre,Si,Si,Si,300,Algunas veces,Algunas veces,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,400,Si,40,No,Nunca,Nunca,8,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,Si,Si,No,No,No,No,Si,No,No,No,No,No,No,Muy democrático,Muy condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Muy autosuficiente,Muy democrático,Condescendiente,Inclusivo,Consultivo,Proactivo,Cooperativo,Delegativo,"Si, alto",Positiva,Mejorado,60,0,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,De utilidad para el trabajo en la comuna,De utilidad para el trabajo en la comuna,0.556448954827114,0.59203091853749,0.660634575942065,0.6
2019,1,Hombre,No,Si,Si,20,Siempre,Casi siempre,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,Si,Si,Si,No,No,5,Si,5,Si,Siempre,Siempre,14,No,No,No,No,No,No,No,Si,Si,Si,No,No,Si,No,No,Si,No,Si,Si,No,Si,No,Si,Si,No,Si,Si,Si,No,Muy democrático,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Muy delegativo,Muy democrático,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Muy delegativo,No,Positiva,Empeorado,20,28,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,No se publica información,No se publica información,0.499755789970262,0.483997659302491,0.54394922496846,0.51
2019,1,Hombre,Si,No,Si,48,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,No,0,No,Nunca,Nunca,7,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Autoritario,Condescendiente,Inclusivo,Consultivo,Muy proactivo,Cooperativo,Delegativo,Autoritario,Condescendiente,Inclusivo,Consultivo,Proactivo,Cooperativo,Delegativo,"Si, alto",Negativa,Mejorado,0,0,Equitativo,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,No consulta,0.777686767904438,0.667945240808133,0.840598141356991,0.76
2019,1,Hombre,Si,Si,Si,800,No consulta,No consulta,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,12,Si,12,No,Nunca,Algunas veces,12,Si,Si,No,No,No,No,No,Si,No,Si,No,No,Si,No,Si,No,Si,Si,Si,Si,No,No,Si,No,No,Si,No,Si,No,Democráctico,Condescendiente,Inclusivo,Consultivo,Proactivo,Muy cooperativo,Muy delegativo,Muy democrático,Muy condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Delegativo,"Si, alto",Positiva,Mejorado,200,0,Totalmente inequitativo,Neutral,Equitativo,Neutral,Totalmente inequitativo,Totalmente equitativo,Equitativo,Totalmente equitativo,Totalmente equitativo,Totalmente equitativo,Totalmente equitativo,De fácil acceso,De fácil acceso,0.690542743044502,0.328139477820951,0.576273465435045,0.51
2019,1,Mujer,No,Si,Si,41,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,1,No,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,Si,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Proactivo,Cooperativo,Autosuficiente,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,"Si, bajo",Positiva,Permanecen igual,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,No consulta,0.750926361416144,0.796046423491034,0.720989501871234,0.76
